,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0487740,IMPERIAL OIL RESOURCES LIMITED,19,1500.0M,491.5M E,CLEARWATER,612.8M,0487740,01,111/08-04-066-04W4/00 N,WATER,06-03-066-04W4,INJECTION,111/08-04-066-04W4/00,IMP H27 LEMING 8-4-66-4,2018,54.6767753544001,-110.5251047124
0487741,IMPERIAL OIL RESOURCES LIMITED,19,1293.0M,504.5M E,CLEARWATER,612.2M,0487741,01,108/09-04-066-04W4/00 N,WATER,06-03-066-04W4,INJECTION,108/09-04-066-04W4/00,IMP H27 LEMING 9-4-66-4,2018,54.6767753544001,-110.5251047124
0487742,IMPERIAL OIL RESOURCES LIMITED,19,1431.0M,500.1M E,CLEARWATER,612.3M,0487742,01,112/08-04-066-04W4/00 N,WATER,06-03-066-04W4,INJECTION,112/08-04-066-04W4/00,IMP H27 LEMING 8-4-66-4,2018,54.6767753544001,-110.5251047124
0487743,HIGH GROUND ENERGY INC.,19,2300.0M,487.1M W,VIKING,797.1M,0487743,01,100/09-03-036-02W4/00 S,OIL,09-04-036-02W4,CRUDE,100/09-03-036-02W4/00,HIGH GROUND 9-4 HZ PROVOST 9-3-36-2,2018,52.0645557230001,-110.2216775692
0487744,HIGH GROUND ENERGY INC.,19,2350.0M,472.1M W,VIKING,796.4M,0487744,01,100/16-03-036-02W4/00 S,OIL,09-04-036-02W4,CRUDE,100/16-03-036-02W4/00,HIGH GROUND 9-4 HZ PROVOST 16-3-36-2,2018,52.0645557230001,-110.2216775692
0487745,NAL RESOURCES LIMITED,19,3990.0M,E 60.0M,ELLERSLIE,1013.2M,0487745,01,S 671.9M,GAS,12-14-034-04W5,PRODUCTION,102/13-15-034-04W5/00,NAL 102 HZ CAROL,2018,51.9202728384001,-114.4646217658
0487746,RIFE RESOURCES LTD.,19,3717.6M,W 180.3M,DUVERNAY,858.2M,0487746,01,N 233.3M,OIL,01-25-034-24W4,CRUDE,100/01-30-034-23W4/00,RIFE ELNORA 1-30-34-23,2018,51.9418913254001,-113.2672540758
0487747,CANUCK NORTH RESOURCES LTD.,19,2752.0M,53.5M W,VIKING,771.5M,0487747,01,100/16-05-035-09W4/00 S,OIL,15-31-034-09W4,CRUDE,100/16-05-035-09W4/00,CNL CANCUK NORTH PROVOST 16-5-35-9,2018,51.9632507250001,-111.2596390072
0487748,CANADIAN NATURAL RESOURCES LIMITED,19,648.0M,455.3M W,DINA,621M,0487748,01,100/08-25-055-07W4/00 N,BITUMEN,07-25-055-07W4,CRUDE,100/08-25-055-07W4/00,CNRL 8C ST. PAUL,2018,53.7748426982001,-110.8986119914
0487749,CANADIAN NATURAL RESOURCES LIMITED,19,743.0M,498.2M E,CLEARWATER,575.8M,0487749,01,100/01-12-056-05W4/00 N,BITUMEN,05-07-056-04W4,CRUDE,100/01-12-056-05W4/00,CNRL 1A LNDBRGH 1-12-56-5,2018,53.8183821914001,-110.5893689106
0487750,PRAIRIE THUNDER RESOURCES LTD.,22,3834.0M,W 697.1M,BANFF,769.6M,0487750,01,S 65.0M,OIL,15-02-054-06W5,CRUDE,100/01-12-054-06W5/00,PTRL HZ ENTWIS 1-12-54-6,2018,53.6372310100001,-114.7657554218
0487751,PRAIRIE THUNDER RESOURCES LTD.,22,4034.0M,W 712.1M,BANFF,771.1M,0487751,01,S 65.0M,OIL,15-02-054-06W5,CRUDE,100/04-10-054-06W5/00,PTRL HZ ENTWIS 4-10-54-6,2018,53.6372310100001,-114.7657554218
0487752,CHEVRON CANADA LIMITED,22,6800.0M,W 194.2M,DUVERNAY,845M,0487752,01,N 741.1M,GAS,08-18-062-20W5,PRODUCTION,102/16-16-062-20W5/00,CHEVRON 102 HZ KAYBOBS 16-16-62-20,2018,54.3581839078001,-116.9789834254
0487753,CHEVRON CANADA LIMITED,22,7050.0M,W 197.8M,DUVERNAY,845M,0487753,01,N 734.7M,GAS,08-18-062-20W5,PRODUCTION,100/09-16-062-20W5/00,CHEVRON HZ KAYBOBS 9-16-62-20,2018,54.3581839078001,-116.9789834254
0487754,CHEVRON CANADA LIMITED,22,7000.0M,W 201.4M,DUVERNAY,844.9M,0487754,01,N 728.4M,GAS,08-18-062-20W5,PRODUCTION,102/09-16-062-20W5/00,CHEVRON 102 HZ KAYBOBS 9-16-62-20,2018,54.3581839078001,-116.9789834254
0487755,CHEVRON CANADA LIMITED,22,6650.0M,W 205.1M,DUVERNAY,844.9M,0487755,01,N 722.0M,GAS,08-18-062-20W5,PRODUCTION,100/08-16-062-20W5/00,CHEVRON HZ KAYBOBS 8-16-62-20,2018,54.3581839078001,-116.9789834254
0487756,CHEVRON CANADA LIMITED,22,6400.0M,W 208.7M,DUVERNAY,845M,0487756,01,N 715.7M,GAS,08-18-062-20W5,PRODUCTION,102/01-16-062-20W5/00,CHEVRON 103 HZ KAYBOBS 1-16-62-20,2018,54.3581839078001,-116.9789834254
0487757,CHEVRON CANADA LIMITED,22,6400.0M,W 212.4M,DUVERNAY,845.1M,0487757,01,N 709.3M,GAS,08-18-062-20W5,PRODUCTION,103/01-16-062-20W5/00,CHEVRON 102 HZ KAYBOBS 1-16-62-20,2018,54.3581839078001,-116.9789834254
0487758,TOURMALINE OIL CORP.,22,3300.0M,E 158.8M,LAKE,668.9M,0487758,01,S 62.9M,OIL,13-22-083-08W6,CRUDE,100/05-23-083-08W6/00,TOURMALINE HZ CECIL 5-23-83-8,2018,56.2131758506001,-119.1766143278
0487759,TOURMALINE OIL CORP.,22,3600.0M,E 204.9M,LAKE,748.1M,0487759,01,S 392.8M,OIL,13-15-078-08W6,CRUDE,100/13-16-078-08W6/00,TOURMALINE HZ VALHALLA 13-16-78-8,2018,55.7617292962001,-119.1534913656
0487760,TOURMALINE OIL CORP.,22,3250.0M,E 165.0M,LAKE,668.9M,0487760,01,S 69.1M,OIL,13-22-083-08W6,CRUDE,100/04-23-083-08W6/00,TOURMALINE HZ CECIL 4-23-83-8,2018,56.2131758506001,-119.1766143278
0487761,GRANITE OIL CORP.,22,5053.0M,E 779.1M,BAKKEN,1159.1M,0487761,01,N 275.1M,OIL,03-08-003-17W4,CRUDE,102/05-12-003-18W4/00,GXO 3B-8 HZ FERGUSON,2018,49.1897954190001,-112.2609735886
0487762,TOURMALINE OIL CORP.,22,3600.0M,E 204.9M,LAKE,748.1M,0487762,01,S 401.6M,OIL,13-15-078-08W6,CRUDE,100/12-16-078-08W6/00,TOURMALINE HZ VALHALLA 12-16-78-8,2018,55.7617292962001,-119.1534913656
0487763,KARVE ENERGY INC.,22,1521.0M,664.7M W,VIKING,736.3M,0487763,01,100/11-29-035-04W4/00 S,OIL,09-30-035-04W4,CRUDE,100/11-29-035-04W4/00,KARVE HZ PROVOST 11-29-35-4,2018,52.035218704,-110.555116619
0487764,KARVE ENERGY INC.,22,1563.0M,665.9M W,VIKING,736.8M,0487764,01,102/11-29-035-04W4/00 S,OIL,09-30-035-04W4,CRUDE,102/11-29-035-04W4/00,KARVE 102 HZ PROVOST 11-29-35-4,2018,52.035218704,-110.555116619
0487765,GAIN ENERGY LTD.,22,5540.0M,W 117.4M,MONTNEY,913.8M,0487765,01,N 69.3M,OIL,01-26-062-26W5,CRUDE,102/16-35-062-26W5/00,GAIN HZ SIMON 16-35-62-26,2018,54.3872889892001,-117.7787206094
0487766,TOURMALINE OIL CORP.,22,4506.0M,E 11.3M,WILRICH,1022.9M,0487766,01,N 176.7M,GAS,04-20-062-05W6,PRODUCTION,100/04-17-062-05W6/00,TOURMALINE HZ KAKWA 4-17-62-5,2018,54.3726533508001,-118.7148574948
0487767,TOURMALINE OIL CORP.,22,4546.0M,E 6.8M,FALHER,1023M,0487767,01,N 174.5M,GAS,04-20-062-05W6,PRODUCTION,100/13-18-062-05W6/00,TOURMALINE HZ KAKWA 13-18-62-5,2018,54.3726533508001,-118.7148574948
0487768,TANGLE CREEK ENERGY LTD.,22,3400.0M,E 221.8M,BELLOY,861.8M,0487768,01,S 444.0M,OIL,12-07-064-23W5,CRUDE,102/06-13-064-24W5/00,TANGLE CREEK WAHIGAN 6-13-64-24,2018,54.5254504906001,-117.4699295712
0487769,NEP CANADA ULC,22,4600.0M,E 481.2M,NISKU,702M,0487769,01,S 228.7M,OIL,14-16-051-26W4,CRUDE,100/09-29-051-26W4/00,NEP HZ LEDUC-WB 9-29-51-26,2018,53.4048340116001,-113.7776714128
0487770,NEP CANADA ULC,22,3450.0M,E 466.2M,NISKU,702M,0487770,01,S 228.7M,OIL,14-16-051-26W4,CRUDE,102/01-17-051-26W4/00,NEP 102 HZ LEDUC-WB 1-17-51-26,2018,53.4048340116001,-113.7776714128
0487771,PEYTO EXPLORATION & DEVELOPMENT CORP.,22,4730.0M,W 281.5M,WILRICH,1143.8M,0487771,01,N 10.0M,GAS,01-14-055-21W5,PRODUCTION,100/13-07-055-20W5/00,PEYTO SUNDANCE 13-7-55-20,2018,53.7470171792001,-117.0016501568
0193073,INCEPTION EXPLORATION LTD.,23,2365.0M,W 264.7M,BELLOY,652.6M,0193073,01,S 248.4M,WASTE,16-26-069-05W6,RESUMPTIONINJECTION,100/16-26-069-05W6/02,INCEPTION EXP 102 ELM 16-26-69-5,2018,55.0055289536001,-118.6386472748
0487772,CANADIAN NATURAL RESOURCES LIMITED,23,741.0M,48.0M E,CLEARWATER,588.5M,0487772,01,102/05-31-055-04W4/00 N,BITUMEN,03-31-055-04W4,CRUDE,102/05-31-055-04W4/00,CNRL 5A LNDBRGH,2018,53.7893110780001,-110.5893574986
