,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0373396,VENTURION OIL LIMITED,03,2650.0M,600.2M E,LLOYDMINSTER,728.4M,0373396,08,102/08-08-046-12W4/05 N,WATER,05-10-046-12W4,RESUMPTIONINJECTION,102/08-08-046-12W4/05,VEN OIL HZ 102 KILLAMN,2018,52.9465210234,-111.6631505698
0373435,VENTURION OIL LIMITED,03,2700.0M,629.8M E,LLOYDMINSTER,726.2M,0373435,08,100/08-08-046-12W4/05 N,OIL,05-10-046-12W4,CRUDE,100/08-08-046-12W4/05,VEN OIL HZ KILLAMN,2018,52.9465210234,-111.6631505698
0373466,VENTURION OIL LIMITED,03,2650.0M,570.0M E,LLOYDMINSTER,728.3M,0373466,08,104/01-08-046-12W4/04 N,OIL,05-10-046-12W4,CRUDE,104/01-08-046-12W4/04,VEN OIL HZ 104 KILLAMN,2018,52.9465210234,-111.6631505698
0375949,VENTURION OIL LIMITED,03,2590.0M,665.1M W,LLOYDMINSTER,722.3M,0375949,08,103/09-08-046-12W4/04 S,WATER,09-09-046-12W4,RESUMPTIONINJECTION,103/09-08-046-12W4/04,VEN OIL HZ 103 KILLAMN,2018,52.9545271828001,-111.6753954728
0449376,CONOCOPHILLIPS CANADA RESOURCES CORP.,03,1980.0M,81.2M E,MCMURRAY,571M,0449376,08,104/01-33-083-06W4/02 N,BITUMEN,03-27-083-06W4,CRUDE,104/01-33-083-06W4/02,COPRC HZ2631I06STK RESDELN 1-33-83-6,2018,56.2187407582,-110.8643858462
0490269,VELVET ENERGY LTD.,03,5250.0M,E 127.1M,MONTNEY,708M,0490269,08,S 444.0M,OIL,12-01-068-03W6,CRUDE,100/16-10-068-03W6/00,VELVET HZ ELM 16-10-68-3,2018,54.8600982170001,-118.3206074658
0490270,ENTRADA RESOURCES INC.,03,4500.0M,W 592.0M,CARDIUM,989.3M,0490270,08,S 618.0M,OIL,10-21-041-05W5,CRUDE,102/12-20-041-05W5/00,ENTRADA HZ 102 WILLGR 12-20-41-5,2018,52.5463809308001,-114.6519347526
0490271,PEYTO EXPLORATION & DEVELOPMENT CORP.,03,3800.0M,E 81.8M,CARDIUM,1074M,0490271,08,S 250.6M,GAS,13-26-053-21W5,PRODUCTION,100/13-27-053-21W5/00,PEYTO ANSELL 13-27-53-21,2018,53.6088030244001,-116.988871667
0490272,MODERN RESOURCES INC.,03,2653.6M,W 430.0M,CARDIUM,835.5M,0490272,08,S 10.6M,OIL,15-29-067-08W6,CRUDE,100/02-29-067-08W6/00,MODERN HZ WAPITI 2-29-67-8,2018,54.8310190812,-119.1727733404
0490273,MODERN RESOURCES INC.,03,2632.4M,W 430.0M,CARDIUM,835.5M,0490273,08,S .6M,OIL,15-29-067-08W6,CRUDE,100/15-32-067-08W6/00,MODERN WAPITI 15-32-67-8,2018,54.8310190812,-119.1727733404
0490274,PEYTO EXPLORATION & DEVELOPMENT CORP.,03,3750.0M,E 94.6M,CARDIUM,1074M,0490274,08,S 243.4M,GAS,13-26-053-21W5,PRODUCTION,100/09-26-053-21W5/00,PEYTO ANSELL 9-26-53-21,2018,53.6088030244001,-116.988871667
0490275,PEYTO EXPLORATION & DEVELOPMENT CORP.,03,3875.0M,E 90.3M,CARDIUM,1074M,0490275,08,S 245.8M,GAS,13-26-053-21W5,PRODUCTION,100/08-26-053-21W5/00,PEYTO ANSELL 8-26-53-21,2018,53.6088030244001,-116.988871667
0490276,PEYTO EXPLORATION & DEVELOPMENT CORP.,03,3550.0M,E 86.1M,CARDIUM,1074M,0490276,08,S 248.2M,GAS,13-26-053-21W5,PRODUCTION,102/03-26-053-21W5/00,PEYTO ANSELL 3-26-53-21,2018,53.6088030244001,-116.988871667
0490277,HUSKY OIL OPERATIONS LIMITED,03,4043.0M,E 406.1M,MUSKEG,479.5M,0490277,08,N 780.8M,OIL,06-18-108-08W6,CRUDE,104/10-17-108-08W6/00,HUSKY HZ 104 RAINBOWS 10-17-108-8,2018,58.370574794,-119.3281967414
0490278,PARAMOUNT RESOURCES LTD.,03,4415.0M,E 278.0M,LEDUC,869.9M,0490278,08,N 351.9M,GAS,04-06-066-06W6,PRODUCTION,100/03-06-066-06W6/00,PARA WAPITI 3-6-66-6,2018,54.6784799234,-118.8963397128
0490279,HUSKY OIL OPERATIONS LIMITED,03,2033.0M,E 376.1M,MUSKEG,478.9M,0490279,08,N 780.8M,OIL,05-18-108-08W6,CRUDE,100/04-18-108-08W6/00,HUSKY DD RAINBOWS 4-18-108-8,2018,58.370574794,-119.3281967414
0490280,HUSKY OIL OPERATIONS LIMITED,03,2083.0M,E 236.0M,MUSKEG,480.9M,0490280,08,S 335.0M,OIL,13-18-108-08W6,CRUDE,100/03-19-108-08W6/00,HUSKY DD RAINBOWS 3-19-108-8,2018,58.3784667968001,-119.3281963564
0490281,YANGARRA RESOURCES CORP.,03,4021.6M,W 497.7M,CARDIUM,1041.2M,0490281,08,S 470.5M,OIL,10-28-039-08W5,CRUDE,102/16-27-039-08W5/00,YANGARRA FERRIER 16-27-39-8,2018,52.3871394912001,-115.0834661586
0490282,VESTA ENERGY LTD.,03,6200.0M,E 417.3M,DUVERNAY,940.5M,0490282,08,N 508.8M,OIL,06-30-037-28W4,CRUDE,102/05-06-038-28W4/00,VESTA CYGNET,2018,52.2048461814,-113.9943139958
