,COMP,DAY,DEPTH,EAST,FIELD,GL,LIC,MONTH,NORTH,PROD,SURF_LOC,TYPE,UWI,WELL,YEAR,LATT,LONGT
0487538,VERMILION ENERGY INC.,04,5899.3M,E 598.4M,NOTIKEWIN,1040.6M,0487538,01,N 20.8M,GAS,03-13-042-11W5,PRODUCTION,100/04-01-042-11W5/00,VEI HZ FERRIER 4-1-42-11,2018,52.6127219312,-115.4550718834
0487539,TIMBERROCK ENERGY CORP.,04,4100.0M,W 713.1M,GLAUCONITIC,1113.9M,0487539,01,N 158.1M,GAS,02-24-033-04W5,PRODUCTION,103/02-13-033-04W5/00,TIMBERROCK HZ 103 GARR 2-13-33-4,2018,51.8400938872,-114.4293272146
0487540,CRESTWYND EXPLORATION LTD.,04,2600.0M,W 71.9M,CLEARWATER,671.3M,0487540,01,S 541.9M,OIL,09-23-063-22W4,CRUDE,100/13-19-063-21W4/00,CRESTWYND MEANOOK 13-19-63-21,2018,54.4649313590001,-113.2094004568
0487541,DELTASTREAM ENERGY CORPORATION,04,2600.0M,W 127.5M,CLEARWATER,704.8M,0487541,01,S 314.2M,BITUMEN,16-11-075-25W4,CRUDE,100/15-10-075-25W4/00,DELTASTREAM HZ MARTENH 15-10-75-25,2018,55.4840781158,-113.7605743262
0487542,VENTURION OIL LIMITED,04,2470.0M,230.3M E,LLOYDMINSTER,703.8M,0487542,01,100/03-14-046-12W4/00 N,OIL,04-23-046-12W4,CRUDE,100/03-14-046-12W4/00,VEN OIL HZ KILLAMN,2018,52.9756704942001,-111.6388965344
0487543,CANAMAX ENERGY LTD.,05,2400.0M,W 105.0M,MONTNEY,705.2M,0487543,01,N 155.0M,OIL,01-07-085-24W5,CRUDE,102/04-07-085-24W5/00,CANAMAX 102 HZ FLOOD 4-7-85-24,2018,56.3514769424001,-117.7713155332
0487544,CANAMAX ENERGY LTD.,05,2550.0M,W 120.0M,MONTNEY,705.3M,0487544,01,N 155.0M,OIL,01-07-085-24W5,CRUDE,102/05-07-085-24W5/00,CANAMAX HZ FLOOD 5-7-85-24,2018,56.3514769424001,-117.7713155332
0487545,ARTIS EXPLORATION LTD.,05,5000.0M,E 166.0M,DUVERNAY,931.3M,0487545,01,N 213.8M,OIL,04-21-031-25W4,CRUDE,100/12-28-031-25W4/00,ARTIS HZ TWINING 12-28-31-25,2018,51.6648942304001,-113.4915131978
0487546,SPUR PETROLEUM LTD.,05,2900.0M,W 720.9M,CLEARWATER,714.4M,0487546,01,S 219.7M,OIL,15-06-077-05W5,CRUDE,100/15-01-077-06W5/00,SPL 15-6 HZ MARTEN 15-1-77-6,2018,55.6452457124001,-114.7543122118
0487547,TOURMALINE OIL CORP.,05,5100.0M,E 217.2M,RIVER,1308.6M,0487547,01,N 29.4M,GAS,04-32-054-23W5,PRODUCTION,100/12-30-054-23W5/00,TOURMALINE HZ SUNDANCE 12-30-54-23,2018,53.7023672594001,-117.3572979308
0487548,TOURMALINE OIL CORP.,05,4700.0M,E 219.4M,RIVER,1308.6M,0487548,01,N 33.8M,GAS,04-32-054-23W5,PRODUCTION,100/03-29-054-23W5/00,TOURMALINE HZ SUNDANCE 3-29-54-23,2018,53.7023672594001,-117.3572979308
